epoch,train_acc,train_loss,val_acc,val_loss
1,57.913306451612904,1.1035380228873222,65.3923541247485,0.7973346896469593
2,64.21370967741936,0.873360863135707,67.20321931589537,0.697498019784689
3,65.7258064516129,0.8052556851217824,70.02012072434607,0.6319258958101273
4,68.29637096774194,0.7367367888650587,71.83098591549296,0.5856779403984547
5,72.07661290322581,0.6551718610909677,73.03822937625755,0.5597577355802059
6,71.62298387096774,0.6447853859393827,74.44668008048289,0.5398608185350895
7,71.32056451612904,0.6192948231773991,74.84909456740442,0.5239361617714167
8,73.7399193548387,0.5921120581126982,76.05633802816901,0.5058288797736168
9,76.05846774193549,0.5724557604520552,76.86116700201207,0.4926025327295065
10,75.3024193548387,0.5477886180723867,77.46478873239437,0.4822708126157522
11,76.4616935483871,0.5184660986546548,78.06841046277665,0.4697826895862818
12,77.97379032258064,0.48907877360620805,78.67203219315896,0.46367305889725685
13,79.6875,0.4832348698569882,78.47082494969818,0.45773647725582123
14,77.01612903225806,0.49491145533900105,78.47082494969818,0.45004347153007984
15,78.67943548387096,0.48646991772036396,80.0804828973843,0.44342728704214096
16,79.23387096774194,0.4675497155516378,79.67806841046277,0.44193748477846384
17,79.63709677419355,0.44862324143609694,80.0804828973843,0.4410204691812396
18,80.14112903225806,0.4504308080480945,80.88531187122736,0.4322473481297493
19,81.60282258064517,0.4412034978308985,81.28772635814889,0.4281460978090763
20,81.60282258064517,0.41419518642848535,81.48893360160966,0.4254583269357681
21,81.25,0.4271569052530873,82.29376257545272,0.42174425534904003
22,82.05645161290323,0.403742206433127,83.09859154929578,0.4185226820409298
23,81.95564516129032,0.40435721412781744,83.29979879275653,0.41279046423733234
24,81.75403225806451,0.4115985199328392,83.5010060362173,0.41000743210315704
25,83.36693548387096,0.3835247488271806,83.29979879275653,0.4076796732842922
26,83.71975806451613,0.3777068548144833,83.29979879275653,0.40621665120124817
27,83.46774193548387,0.3674431628277225,83.09859154929578,0.40312244556844234
28,84.6774193548387,0.3524892455147159,83.5010060362173,0.3965737819671631
29,84.52620967741936,0.3599293400203028,83.29979879275653,0.397088167257607
30,84.0725806451613,0.3646091335723477,83.29979879275653,0.3938411623239517
31,84.375,0.3577962611471453,83.70221327967806,0.38985765539109707
32,83.97177419354838,0.3588453951862551,83.5010060362173,0.3919025054201484
